name,group,rule_order,node_count,max_classes,down_cost,up_cost,cost_change_frac,down_classes,up_classes,class_change_frac,down_live,up_live,down_apps,up_apps,down_iters,up_iters,down_unions,up_unions,down_stop,up_stop,down_cap,up_cap,up_enqueues,up_edges,down_ms,up_ms
glyph16:U+0036,glyph16,numeric-first,8067,5000,14024,14024,0.000000,5000,5000,0.000000,3970,3970,1081,1081,1,1,1030,1030,ClassCap,ClassCap,true,true,2503,9251,15.795,16.503
glyph16:U+0037,glyph16,numeric-first,191,5000,278,236,-0.151079,2579,2862,0.109732,273,293,17252,22601,5,6,2292,2502,ClassCap,ClassCap,true,true,53738,2435,77.939,151.780
glyph16:U+0038,glyph16,numeric-first,9774,5000,17316,17316,0.000000,5000,5000,0.000000,4337,4337,665,665,1,1,663,663,ClassCap,ClassCap,true,true,1358,9436,16.148,16.474
glyph16:U+0039,glyph16,numeric-first,8267,5000,14331,14331,0.000000,5000,5000,0.000000,4014,4014,1017,1017,1,1,986,986,ClassCap,ClassCap,true,true,2424,9246,15.362,16.164
glyph16:U+003A,glyph16,numeric-first,3655,5000,6064,6080,0.002639,4996,4994,-0.000400,2075,2074,3770,3775,2,2,2919,2917,ClassCap,ClassCap,true,true,13400,7405,24.383,28.074
glyph16:U+003B,glyph16,numeric-first,3494,5000,5913,5914,0.000169,4995,4994,-0.000200,2055,2057,3833,3857,2,2,2934,2934,ClassCap,ClassCap,true,true,12847,7385,24.060,27.663
glyph16:U+003C,glyph16,numeric-first,295,5000,490,490,0.000000,2951,3221,0.091494,405,468,13125,12434,4,4,2539,2672,ClassCap,ClassCap,true,true,26899,3230,45.846,54.244
glyph16:U+003D,glyph16,numeric-first,183,5000,231,231,0.000000,1586,2546,0.605296,172,248,22719,20630,7,6,1409,2234,Quiesced,ClassCap,false,true,37003,2244,56.347,103.084
glyph16:U+003E,glyph16,numeric-first,295,5000,495,495,0.000000,2961,3235,0.092536,406,470,13141,12442,4,4,2548,2683,ClassCap,ClassCap,true,true,27726,3246,47.890,55.495
glyph16:U+003F,glyph16,numeric-first,6716,5000,11563,11563,0.000000,5000,5000,0.000000,3543,3543,1642,1642,1,1,1457,1457,ClassCap,ClassCap,true,true,3194,9189,15.647,16.422
glyph16:U+0040,glyph16,numeric-first,12056,5000,23527,23527,0.000000,5226,5226,0.000000,5226,5226,0,0,0,0,0,0,ClassCap,ClassCap,true,true,0,9757,1.808,1.736
glyph16:U+0041,glyph16,numeric-first,1605,5000,2642,2642,0.000000,4687,4662,-0.005334,1511,1393,5696,5692,2,2,3172,3157,ClassCap,ClassCap,true,true,13392,6321,18.620,23.943
