kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U0057,glyph16,5000,204,3864,194,10887,ClassCap,60496,796,65616,TreeCheaper,60496,796,63,0.141
glyph16_U0058,glyph16,10000,201,7262,203,28325,ClassCap,61528,838,67432,TreeCheaper,61528,838,91,0.696
glyph16_U0058,glyph16,20000,201,12578,184,61261,ClassCap,61328,638,66992,TreeCheaper,61328,638,81,4.088
glyph16_U0058,glyph16,5000,201,4050,205,10197,ClassCap,59972,842,69028,TreeCheaper,59972,842,77,0.106
glyph16_U0059,glyph16,10000,151,5344,131,23234,ClassCap,45831,501,52052,TreeCheaper,45831,501,49,0.350
glyph16_U0059,glyph16,20000,151,13296,121,76693,ClassCap,45735,405,51804,TreeCheaper,45735,405,50,8.226
glyph16_U0059,glyph16,5000,151,3253,140,9522,ClassCap,46104,534,52478,TreeCheaper,46104,534,52,0.074
glyph16_U005A,glyph16,10000,148,7610,113,36346,ClassCap,42885,345,51252,TreeCheaper,42885,345,45,1.056
glyph16_U005A,glyph16,20000,148,14904,110,72239,ClassCap,42877,337,51228,TreeCheaper,42877,337,43,7.282
glyph16_U005A,glyph16,5000,148,2922,126,9221,ClassCap,42960,420,51578,TreeCheaper,42960,420,44,0.070
glyph16_U005B,glyph16,10000,105,1526,65,16687,Quiesced,25220,170,35592,TreeCheaper,25220,170,22,0.100
glyph16_U005B,glyph16,20000,105,1526,65,16687,Quiesced,25220,170,35592,TreeCheaper,25220,170,22,0.099
glyph16_U005B,glyph16,5000,105,1526,65,16687,Quiesced,25220,170,35592,TreeCheaper,25220,170,22,0.100
glyph16_U005C,glyph16,10000,84,7873,64,37505,ClassCap,20228,188,23572,TreeCheaper,20292,192,25,0.725
glyph16_U005C,glyph16,20000,84,15356,64,72321,ClassCap,20228,188,23572,TreeCheaper,20292,192,25,2.674
glyph16_U005C,glyph16,5000,84,2957,69,11752,ClassCap,20266,226,23686,TreeCheaper,20330,230,25,0.087
glyph16_U005D,glyph16,10000,105,1557,66,16993,Quiesced,26500,175,38152,TreeCheaper,26500,175,23,0.115
glyph16_U005D,glyph16,20000,105,1557,66,16993,Quiesced,26500,175,38152,TreeCheaper,26500,175,23,0.114
glyph16_U005D,glyph16,5000,105,1557,66,16993,Quiesced,26500,175,38152,TreeCheaper,26500,175,23,0.115
glyph16_U005E,glyph16,10000,125,6394,110,21381,ClassCap,34036,406,38460,TreeCheaper,34084,409,43,0.229
glyph16_U005E,glyph16,20000,125,15022,106,50010,ClassCap,33976,346,38280,TreeCheaper,34024,349,47,1.114
