name,category,node_count,cap,stop,hit_cap,allocated,live,nodes,memo,ratio,extracted_cost
glyph32:U+0062,glyph,5129,5000,ClassCap,true,4995,2824,4995,5043,1.7688,9434
glyph32:U+0063,glyph,4671,5000,ClassCap,true,4984,2700,4984,5027,1.8459,8419
glyph32:U+0064,glyph,5864,5000,ClassCap,true,5000,3022,5000,5064,1.6545,10763
glyph32:U+0065,glyph,4872,5000,ClassCap,true,4989,2751,4989,5034,1.8135,8766
glyph32:U+0066,glyph,2364,5000,ClassCap,true,4880,1682,4880,5126,2.9013,3955
glyph32:U+0067,glyph,7009,5000,ClassCap,true,5000,3208,5000,5073,1.5586,12799
glyph32:U+0068,glyph,2931,5000,ClassCap,true,4717,2082,4717,4741,2.2656,5045
glyph32:U+0069,glyph,2123,5000,ClassCap,true,4727,1455,4727,4988,3.2488,3510
glyph32:U+006A,glyph,4293,5000,ClassCap,true,4971,2597,4971,5001,1.9141,7523
glyph32:U+006B,glyph,1460,5000,ClassCap,true,4460,1306,4460,4687,3.4150,2517
glyph32:U+006C,glyph,323,5000,ClassCap,true,3007,467,3007,3282,6.4390,522
glyph32:U+006D,glyph,5289,5000,ClassCap,true,4998,2856,4998,5062,1.7500,9624
glyph32:U+006E,glyph,2264,5000,ClassCap,true,4826,1631,4826,5051,2.9589,3759
glyph32:U+006F,glyph,5716,5000,ClassCap,true,5000,2947,5000,5055,1.6966,10262
glyph32:U+0070,glyph,5406,5000,ClassCap,true,4999,2901,4999,5057,1.7232,9922
glyph32:U+0071,glyph,5046,5000,ClassCap,true,4992,2802,4992,5041,1.7816,9172
glyph32:U+0072,glyph,2456,5000,ClassCap,true,4912,1804,4912,5158,2.7228,4180
glyph32:U+0073,glyph,6929,5000,ClassCap,true,5000,3201,5000,5088,1.5620,12680
glyph32:U+0074,glyph,2421,5000,ClassCap,true,4905,1796,4905,5142,2.7311,4109
glyph32:U+0075,glyph,2493,5000,ClassCap,true,4898,1809,4898,5116,2.7076,4153
glyph32:U+0076,glyph,1115,5000,ClassCap,true,4236,1182,4236,4416,3.5838,1760
glyph32:U+0077,glyph,3663,5000,ClassCap,true,4937,2492,4937,4971,1.9811,6602
glyph32:U+0078,glyph,343,5000,ClassCap,true,3590,620,3590,3918,5.7903,639
glyph32:U+0079,glyph,3530,5000,ClassCap,true,4915,2436,4915,4942,2.0177,6403
glyph32:U+007A,glyph,255,5000,ClassCap,true,3358,459,3358,3603,7.3159,393
glyph32:U+007B,glyph,4598,5000,ClassCap,true,4984,2694,4984,5032,1.8500,8205
glyph32:U+007C,glyph,119,5000,Quiesced,false,1043,111,1043,1177,9.3964,133
glyph32:U+007D,glyph,4598,5000,ClassCap,true,4983,2688,4983,5024,1.8538,8215
glyph32:U+007E,glyph,5093,5000,ClassCap,true,4996,2812,4996,5047,1.7767,9370
psychedelic,psychedelic,102,5000,ClassCap,true,4847,946,4847,4994,5.1237,766
shader:cosine_palette,shader,40,2000,ClassCap,true,1767,474,1767,1801,3.7278,296
shader:domain_warp_fbm,shader,84,5000,ClassCap,true,4577,1245,4577,4748,3.6763,444
shader:gyroid_slice,shader,44,2000,Quiesced,false,779,104,779,816,7.4904,938
shader:julia_set,shader,122,5000,ClassCap,true,4533,819,4533,4783,5.5348,716
shader:kaleidoscope_fold,shader,46,2000,Quiesced,false,131,57,131,131,2.2982,554
shader:mandelbrot_distance,shader,152,5000,ClassCap,true,3678,415,3678,3933,8.8627,576
shader:metaballs,shader,62,5000,ClassCap,true,2584,286,2584,2882,9.0350,158
shader:plasma,shader,41,2000,ClassCap,true,1822,336,1822,1862,5.4226,363
shader:smooth_min_scene,shader,43,2000,ClassCap,true,1219,160,1219,1380,7.6188,136
shader:smoothstep_vignette,shader,64,5000,Quiesced,false,283,82,283,295,3.4512,161
shader:star_sdf,shader,66,5000,ClassCap,true,3828,632,3828,4089,6.0570,169
shader:torus_slice,shader,42,2000,ClassCap,true,1291,166,1291,1402,7.7771,141
synth_d3_s0,synthetic,19,2000,Quiesced,false,37,17,37,39,2.1765,163
synth_d3_s1,synthetic,30,2000,Quiesced,false,35,18,35,37,1.9444,361
synth_d3_s2,synthetic,14,2000,Quiesced,false,18,12,18,19,1.5000,318
synth_d3_s3,synthetic,30,2000,Quiesced,false,39,22,39,42,1.7727,325
synth_d3_s4,synthetic,24,2000,Quiesced,false,64,31,64,66,2.0645,188
synth_d3_s5,synthetic,18,2000,Quiesced,false,45,18,45,46,2.5000,40
