kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U0044,glyph16,10000,939,9371,752,13505,ClassCap,188905,3235,416044,Shared,190553,3338,286,0.172
glyph16_U0044,glyph16,20000,939,18017,825,26661,ClassCap,188377,3622,757155,Shared,188601,3636,284,0.239
glyph16_U0045,glyph16,5000,134,3531,83,15297,ClassCap,34606,226,48092,TreeCheaper,34606,226,29,0.142
glyph16_U0045,glyph16,10000,134,7146,83,31722,ClassCap,34606,226,48092,TreeCheaper,34606,226,30,0.693
glyph16_U0045,glyph16,20000,134,14803,83,64297,ClassCap,34606,226,48092,TreeCheaper,34606,226,29,4.116
glyph16_U0046,glyph16,5000,118,3184,72,14175,ClassCap,29881,196,41762,TreeCheaper,29881,196,25,0.118
glyph16_U0046,glyph16,10000,118,6855,72,29586,ClassCap,29881,196,41762,TreeCheaper,29881,196,26,0.679
glyph16_U0046,glyph16,20000,118,15019,72,60643,ClassCap,29881,196,41762,TreeCheaper,29881,196,25,3.554
glyph16_U0047,glyph16,5000,1854,4994,1801,2983,ClassCap,407849,8009,1847231,Shared,408489,8049,929,0.024
glyph16_U0047,glyph16,10000,1854,9758,1593,7743,ClassCap,380275,7195,1194948,Shared,383525,7445,536,0.029
glyph16_U0047,glyph16,20000,1854,18874,1511,26010,ClassCap,373347,6537,882028,Shared,376659,6744,576,0.430
glyph16_U0048,glyph16,5000,118,3202,68,14395,ClassCap,32985,195,50652,TreeCheaper,32985,195,27,0.124
glyph16_U0048,glyph16,10000,118,6671,68,29752,ClassCap,32985,195,50652,TreeCheaper,32985,195,28,0.675
glyph16_U0048,glyph16,20000,118,14456,68,60456,ClassCap,32985,195,50652,TreeCheaper,32985,195,27,3.501
glyph16_U0049,glyph16,5000,122,3224,70,14634,ClassCap,33081,201,50652,TreeCheaper,33081,201,27,0.138
glyph16_U0049,glyph16,10000,122,6682,70,30071,ClassCap,33081,201,50652,TreeCheaper,33081,201,28,0.695
glyph16_U0049,glyph16,20000,122,14767,70,60869,ClassCap,33081,201,50652,TreeCheaper,33081,201,27,3.757
glyph16_U004A,glyph16,5000,982,4878,860,3864,ClassCap,210139,3799,720604,Shared,211823,3923,301,0.015
glyph16_U004A,glyph16,10000,982,9414,794,13268,ClassCap,204499,3349,460320,Shared,205795,3430,297,0.101
glyph16_U004A,glyph16,20000,982,17889,845,26400,ClassCap,199249,3649,657337,Shared,198913,3628,303,0.144
glyph16_U004B,glyph16,5000,190,3750,171,10620,ClassCap,54634,649,65603,TreeCheaper,54634,649,61,0.096
glyph16_U004B,glyph16,10000,190,6284,160,26202,ClassCap,54297,612,65062,TreeCheaper,54297,612,60,0.489
glyph16_U004B,glyph16,20000,190,12677,154,55717,ClassCap,54197,512,64812,TreeCheaper,54197,512,65,3.800
glyph16_U004C,glyph16,5000,87,2666,55,12137,ClassCap,22996,151,29102,TreeCheaper,22996,151,20,0.093
glyph16_U004C,glyph16,10000,87,7929,55,39589,ClassCap,22996,151,29102,TreeCheaper,22996,151,21,1.679
glyph16_U004C,glyph16,20000,87,12207,55,52348,ClassCap,22996,151,29102,TreeCheaper,22996,151,21,3.232
glyph16_U004D,glyph16,5000,175,3654,159,10275,ClassCap,56634,594,66452,TreeCheaper,56634,594,63,0.087
glyph16_U004D,glyph16,10000,175,6023,147,25362,ClassCap,56353,553,65992,TreeCheaper,56353,553,59,0.410
glyph16_U004D,glyph16,20000,175,12091,142,53598,ClassCap,56273,473,65792,TreeCheaper,56273,473,64,3.002
glyph16_U004E,glyph16,5000,130,2645,104,8669,ClassCap,41209,334,51578,TreeCheaper,41209,334,42,0.059
glyph16_U004E,glyph16,10000,130,7447,93,34035,ClassCap,41159,284,51252,TreeCheaper,41159,284,41,0.783
