extractor,family,kernel,extent,cap,app_cap,input_nodes,inserted_classes,classes_after,live_classes,objective,scale,claimed,tree_cost,dag_cost,signed_error,error_frac,repaired_picks,sentinel_classes,arena_nodes,arena_dag_unweighted,sharing_ratio
dfs-post-order,glyph16,glyph16_U004D,16x16,50000,2000000,343,175,36609,4464,tree_cheaper,tree,18446744073709551615,65744,56257,18446744073709485871,280584449892149.656250,86,74,137,457,1.169
cost-order-settling,glyph16,glyph16_U004E,16x16,5000,200000,267,130,2645,368,tree_cheaper,tree,51578,51578,41209,0,0.000000,,,104,334,1.252
dfs-post-order,glyph16,glyph16_U004E,16x16,5000,200000,267,130,2645,368,tree_cheaper,tree,13835058055282199338,51578,41209,13835058055282147760,268235644175465.250000,7,7,104,334,1.252
cost-order-settling,glyph16,glyph16_U004E,16x16,20000,800000,267,130,14580,2358,tree_cheaper,tree,51228,51228,41155,0,0.000000,,,91,280,1.245
dfs-post-order,glyph16,glyph16_U004E,16x16,20000,800000,267,130,14580,2358,tree_cheaper,tree,13835058055282199163,51228,41155,13835058055282147935,270068284049389.937500,29,29,91,280,1.245
cost-order-settling,glyph16,glyph16_U004E,16x16,50000,2000000,267,130,35493,5804,tree_cheaper,tree,51228,51228,41155,0,0.000000,,,91,280,1.245
dfs-post-order,glyph16,glyph16_U004E,16x16,50000,2000000,267,130,35493,5804,tree_cheaper,tree,13835058055282199163,51228,41155,13835058055282147935,270068284049389.937500,91,73,91,280,1.245
cost-order-settling,glyph16,glyph16_U004F,16x16,5000,200000,3863,1707,4991,2585,shared,dag,364244,1492023,364244,0,0.000000,,,1654,7454,4.096
dfs-post-order,glyph16,glyph16_U004F,16x16,5000,200000,3863,1707,4991,2585,shared,dag,365414,1964711,366336,-922,-0.002517,14,33,1685,7581,5.363
cost-order-settling,glyph16,glyph16_U004F,16x16,20000,800000,3863,1707,19163,4892,shared,dag,345380,834484,345380,0,0.000000,,,1416,6260,2.416
dfs-post-order,glyph16,glyph16_U004F,16x16,20000,800000,3863,1707,19163,4892,shared,dag,327212,820194,340857,-13645,-0.040031,8,69,1378,6057,2.406
cost-order-settling,glyph16,glyph16_U004F,16x16,50000,2000000,3863,1707,40876,9738,shared,dag,301896,1362228,301896,0,0.000000,,,1390,6276,4.512
dfs-post-order,glyph16,glyph16_U004F,16x16,50000,2000000,3863,1707,40876,9738,shared,dag,284069,1485446,305026,-20957,-0.068706,128,146,1431,6406,4.870
cost-order-settling,psychedelic,psychedelic_packed,1920x1080,5000,200000,1246,112,4670,1263,shared,dag,742644909,4903648303,742644909,0,0.000000,,,111,821,6.603
dfs-post-order,psychedelic,psychedelic_packed,1920x1080,5000,200000,1246,112,4670,1263,tree_cheaper,tree,4044763099,4044763099,750939309,0,0.000000,2,2,112,825,5.386
cost-order-settling,psychedelic,psychedelic_packed,1920x1080,20000,800000,1246,112,17907,3694,shared,dag,742650308,4903635342,742650308,0,0.000000,,,110,825,6.603
dfs-post-order,psychedelic,psychedelic_packed,1920x1080,20000,800000,1246,112,17907,3694,tree_cheaper,tree,4044756618,4044756618,750944708,0,0.000000,9,8,111,829,5.386
cost-order-settling,psychedelic,psychedelic_packed,1920x1080,50000,2000000,1246,112,47130,7712,shared,dag,742650308,4903635342,742650308,0,0.000000,,,110,825,6.603
dfs-post-order,psychedelic,psychedelic_packed,1920x1080,50000,2000000,1246,112,47130,7712,tree_cheaper,tree,4044756618,4044756618,750944708,0,0.000000,209,164,111,829,5.386
cost-order-settling,shader,shader_cosine_palette,256x256,5000,200000,40,34,4611,1308,tree_cheaper,tree,23016192,23016192,18418432,0,0.000000,,,25,292,1.250
dfs-post-order,shader,shader_cosine_palette,256x256,5000,200000,40,34,4611,1308,tree_cheaper,tree,23016192,23016192,18418432,0,0.000000,18,6,25,292,1.250
cost-order-settling,shader,shader_cosine_palette,256x256,20000,800000,40,34,18258,3234,shared,dag,14945324,39474732,14945324,0,0.000000,,,37,539,2.641
dfs-post-order,shader,shader_cosine_palette,256x256,20000,800000,40,34,18258,3234,tree_cheaper,tree,23016192,23016192,18418432,0,0.000000,205,114,25,292,1.250
cost-order-settling,shader,shader_cosine_palette,256x256,50000,2000000,40,34,43848,8882,shared,dag,14158886,31343910,14158886,0,0.000000,,,33,521,2.214
dfs-post-order,shader,shader_cosine_palette,256x256,50000,2000000,40,34,43848,8882,tree_cheaper,tree,23016192,23016192,18418432,0,0.000000,576,264,25,292,1.250
cost-order-settling,shader,shader_domain_warp_fbm,256x256,5000,200000,84,67,4591,1244,shared,dag,26813184,327324672,26813184,0,0.000000,,,58,444,12.208
dfs-post-order,shader,shader_domain_warp_fbm,256x256,5000,200000,84,67,4591,1244,tree_cheaper,tree,127599632,127599632,27664132,0,0.000000,1,1,63,457,4.612
cost-order-settling,shader,shader_domain_warp_fbm,256x256,20000,800000,84,67,18774,4694,shared,dag,26419968,252053504,26419968,0,0.000000,,,58,438,9.540
dfs-post-order,shader,shader_domain_warp_fbm,256x256,20000,800000,84,67,18774,4694,tree_cheaper,tree,126288896,126288896,27205376,0,0.000000,5,4,62,446,4.642
cost-order-settling,shader,shader_domain_warp_fbm,256x256,50000,2000000,84,67,44384,10173,shared,dag,26418692,252068912,26418692,0,0.000000,,,58,437,9.541
dfs-post-order,shader,shader_domain_warp_fbm,256x256,50000,2000000,84,67,44384,10173,tree_cheaper,tree,125500448,125500448,26876164,0,0.000000,8,3,59,439,4.670
cost-order-settling,shader,shader_gyroid_slice,256x256,5000,200000,40,38,775,102,tree_cheaper,tree,22957868,22957868,21444647,0,0.000000,,,33,932,1.071
dfs-post-order,shader,shader_gyroid_slice,256x256,5000,200000,40,38,775,102,tree_cheaper,tree,22957868,22957868,21444647,0,0.000000,0,0,33,932,1.071
cost-order-settling,shader,shader_gyroid_slice,256x256,20000,800000,40,38,775,102,tree_cheaper,tree,22957868,22957868,21444647,0,0.000000,,,33,932,1.071
dfs-post-order,shader,shader_gyroid_slice,256x256,20000,800000,40,38,775,102,tree_cheaper,tree,22957868,22957868,21444647,0,0.000000,0,0,33,932,1.071
cost-order-settling,shader,shader_gyroid_slice,256x256,50000,2000000,40,38,775,102,tree_cheaper,tree,22957868,22957868,21444647,0,0.000000,,,33,932,1.071
dfs-post-order,shader,shader_gyroid_slice,256x256,50000,2000000,40,38,775,102,tree_cheaper,tree,22957868,22957868,21444647,0,0.000000,0,0,33,932,1.071
cost-order-settling,shader,shader_julia_set,256x256,5000,200000,122,110,4535,819,shared,dag,39788800,421772985856,39788800,0,0.000000,,,106,640,10600.294
