name,group,arm,node_count,stop,allocated,live,nodes,memo,bytes_proxy,applications,iterations,unions,extracted_cost,elapsed_ns
glyph32:U+0031,glyph32,live,1452,ClassCap(Live),6156,1724,6156,6405,1048152,9393,2,4407,2413,26642833
glyph32:U+0032,glyph32,allocated,3891,ClassCap(Allocated),4945,2533,4945,4974,832384,3078,1,2357,6980,15317209
glyph32:U+0032,glyph32,live,3891,ClassCap(Live),6465,2881,6465,6495,1087800,4761,1,3529,6810,18178083
glyph32:U+0033,glyph32,allocated,6993,ClassCap(Allocated),5000,3209,5000,5091,845096,1948,1,1791,12797,16713125
glyph32:U+0033,glyph32,live,6993,ClassCap(Live),8381,4291,8381,8469,1412936,5347,1,4034,12605,25644208
glyph32:U+0034,glyph32,allocated,1637,ClassCap(Allocated),4557,1337,4557,4794,778848,6666,2,3191,2751,23524875
glyph32:U+0034,glyph32,live,1637,ClassCap(Live),6693,1888,6693,6945,1138536,10207,2,4776,2630,28673958
glyph32:U+0035,glyph32,allocated,4546,ClassCap(Allocated),4981,2683,4981,5017,838824,2926,1,2243,8145,15664583
glyph32:U+0035,glyph32,live,4546,ClassCap(Live),7177,3212,7177,7213,1207752,5204,1,3910,8145,20249417
glyph32:U+0036,glyph32,allocated,8067,ClassCap(Allocated),5000,3663,5000,5058,843248,1387,1,1337,15249,16492833
glyph32:U+0036,glyph32,live,8067,ClassCap(Live),8240,4576,8240,8346,1390256,4642,1,3643,14872,26340583
glyph32:U+0037,glyph32,allocated,191,ClassCap(Allocated),2791,377,2791,3006,480928,12363,4,2394,288,84361292
glyph32:U+0037,glyph32,live,191,ClassCap(Live),4930,603,4930,5209,843864,24455,5,4301,278,358447333
glyph32:U+0038,glyph32,allocated,9774,ClassCap(Allocated),5000,4420,5000,5002,840112,581,1,580,18500,17287167
glyph32:U+0038,glyph32,live,9774,ClassCap(Live),7225,4832,7225,7320,1219120,2841,1,2392,18085,24892750
glyph32:U+0039,glyph32,allocated,8267,ClassCap(Allocated),5000,3774,5000,5036,842016,1260,1,1226,15698,16572958
glyph32:U+0039,glyph32,live,8267,ClassCap(Live),8215,4626,8215,8292,1384432,4482,1,3553,15201,26169750
glyph32:U+003A,glyph32,allocated,3655,ClassCap(Allocated),4854,2312,4854,4871,816424,3374,1,2481,6228,14549416
glyph32:U+003A,glyph32,live,3655,ClassCap(Live),5834,2535,5834,5851,981064,4429,1,3238,6228,16167291
glyph32:U+003B,glyph32,allocated,3494,ClassCap(Allocated),4855,2307,4855,4876,816816,3371,1,2490,6080,14523459
glyph32:U+003B,glyph32,live,3494,ClassCap(Live),10367,3029,10367,10643,1757112,15562,2,7245,5609,47446000
